Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022
JJ Redick,"$16,064,430","$15,402,029","$15,402,029","$15,402,029"
Jordan Clarkson,"$16,006,301","$13,610,528","$13,610,528","$13,610,528"
Dewayne Dedmon,"$15,882,222","$4,080,172","$4,080,172","$4,080,172"
Solomon Hill,"$15,831,075","$2,573,358","$2,573,358","$2,573,358"
Justise Winslow,"$15,485,166","$15,385,815","$15,385,815","$15,385,815"
Thaddeus Young,"$15,366,049","$16,030,835","$16,030,835","$16,030,835"
Will Barton,"$15,219,281","$16,241,756","$16,241,756","$16,241,756"
Larry Nance Jr,"$15,160,303","$13,857,993","$13,857,993","$13,857,993"
Patrick Mills,"$15,102,290","$16,019,845","$16,019,845","$16,019,845"
Kelly Olynyk,"$15,089,562","$15,172,366","$15,172,366","$15,172,366"
Marcus Smart,"$14,953,395","$15,322,411","$15,322,411","$15,322,411"
Terrence Ross,"$14,889,583","$15,977,577","$15,977,577","$15,977,577"
Patrick Beverley,"$14,705,762","$15,780,322","$15,780,322","$15,780,322"
Trevor Ariza,"$14,532,233","$15,149,110","$15,149,110","$15,149,110"
Brook Lopez,"$14,404,806","$15,028,006","$15,028,006","$15,028,006"
Jusuf Nurkic,"$14,293,999","$15,254,312","$15,254,312","$15,254,312"
Cory Joseph,"$14,293,999","$14,912,405","$14,912,405","$14,912,405"
Joe Ingles,"$13,644,273","$12,265,615","$12,265,615","$12,265,615"
Tony Snell,"$13,570,791","$14,413,634","$14,413,634","$14,413,634"
Robert Covington,"$13,461,635","$14,366,025","$14,366,025","$14,366,025"
Meyers Leonard,"$13,444,120","$11,125,127","$11,125,127","$11,125,127"
TJ Warren,"$13,174,303","$14,202,290","$14,202,290","$14,202,290"
Moe Harkless,"$13,116,214","$4,287,908","$4,287,908","$4,287,908"
Andre Roberson,"$12,794,011","$487,184","$487,184","$487,184"
Spencer Dinwiddie,"$12,633,037","$13,556,143","$13,556,143","$13,556,143"
Jeremy Lamb,"$12,507,249","$12,427,004","$12,427,004","$12,427,004"
Dwight Powell,"$12,220,625","$13,113,596","$13,113,596","$13,113,596"
George Hill,"$12,071,172","$11,350,709","$11,350,709","$11,350,709"
Josh Richardson,"$12,050,527","$12,860,117","$12,860,117","$12,860,117"
Norman Powell,"$12,050,527","$12,860,117","$12,860,117","$12,860,117"
Tyus Jones,"$12,049,841","$10,435,302","$10,435,302","$10,435,302"
Tomas Satoransky,"$11,911,666","$11,835,242","$11,835,242","$11,835,242"
DeAndre Jordan,"$11,770,630","$12,279,866","$12,279,866","$12,279,866"
Zion Williamson,"$11,622,737","$12,125,773","$12,125,773","$12,125,773"
Markelle Fultz,"$11,608,157","$14,543,970","$14,543,970","$14,543,970"
John Henson,"$11,592,905","$188,070","$188,070","$188,070"
Matthew Dellavedova,"$11,444,133","$2,573,358","$2,573,358","$2,573,358"
Dante Exum,"$11,435,199","$11,361,832","$11,361,832","$11,361,832"
Deandre Ayton,"$11,391,031","$11,856,782","$11,856,782","$11,856,782"
Delon Wright,"$11,284,736","$10,651,718","$10,651,718","$10,651,718"
Jerami Grant,"$11,132,825","$22,546,136","$22,546,136","$22,546,136"
Fred VanVleet,"$11,132,825","$25,149,890","$25,149,890","$25,149,890"
Al-Farouq Aminu,"$11,027,820","$11,504,920","$11,504,920","$11,504,920"
Kyle Anderson,"$10,807,514","$11,249,516","$11,249,516","$11,249,516"
Taj Gibson,"$10,720,499","$3,886,319","$3,886,319","$3,886,319"
Ja Morant,"$10,399,170","$10,849,130","$10,849,130","$10,849,130"
Lonzo Ball,"$10,386,163","$13,023,242","$13,023,242","$13,023,242"
E'Twaun Moore,"$10,321,373","$2,759,496","$2,759,496","$2,759,496"
Marvin Bagley,"$10,191,764","$10,608,685","$10,608,685","$10,608,685"
Bogdan Bogdanovic,"$10,159,920","$21,303,436","$21,303,436","$21,303,436"
PJ Tucker,"$9,945,096","$9,432,140","$9,432,140","$9,432,140"
Cristiano Felicio,"$9,715,750","$8,910,777","$8,910,777","$8,910,777"
Kentavious Caldwell-Pope,"$9,695,241","$14,288,711","$14,288,711","$14,288,711"
Ben Simmons,"$9,665,041","$36,167,554","$36,167,554","$36,167,554"
Maxi Kleber,"$9,529,333","$10,030,367","$10,030,367","$10,030,367"
Louis Williams,"$9,529,333","$9,468,193","$9,468,193","$9,468,193"
Elfrid Payton,"$9,529,333","$5,641,860","$5,641,860","$5,641,860"
Wayne Ellington,"$9,529,333","$4,218,971","$4,218,971","$4,218,971"
Thomas Bryant,"$9,529,333","$9,862,701","$9,862,701","$9,862,701"
RJ Barrett,"$9,338,698","$9,742,487","$9,742,487","$9,742,487"
Jayson Tatum,"$9,326,834","$11,713,481","$11,713,481","$11,713,481"
Jae Crowder,"$9,309,602","$10,957,067","$10,957,067","$10,957,067"
Luka Doncic,"$9,152,162","$9,526,612","$9,526,612","$9,526,612"
Joe Harris,"$9,132,278","$19,020,925","$19,020,925","$19,020,925"
Seth Curry,"$8,887,747","$9,272,260","$9,272,260","$9,272,260"
DeMarre Carroll,"$8,742,279","$7,242,784","$7,242,784","$7,242,784"
Langston Galloway,"$8,735,221","$2,400,890","$2,400,890","$2,400,890"
Doug McDermott,"$8,735,221","$8,679,177","$8,679,177","$8,679,177"
Derrick Rose,"$8,715,854","$9,092,929","$9,092,929","$9,092,929"
