Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022
Kenrich Williams,"$1,687,706","$2,367,048","$2,367,048","$2,367,048"
Hamidou Diallo,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Jevon Carter,"$1,687,706","$4,645,332","$4,645,332","$4,645,332"
Gary Trent Jr,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Chimezie Metu,"$1,687,706","$1,078,066","$1,078,066","$1,078,066"
Isaac Bonga,"$1,687,706","$1,969,219","$1,969,219","$1,969,219"
Bruno Fernando,"$1,667,633","$1,796,567","$1,796,567","$1,796,567"
Jaylen Nowell,"$1,667,633","$1,796,567","$1,796,567","$1,796,567"
Kevin Porter,"$1,537,748","$2,033,272","$2,033,272","$2,033,272"
Carsen Edwards,"$1,462,783","$1,796,567","$1,796,567","$1,796,567"
Cody Martin,"$1,397,607","$1,796,567","$1,796,567","$1,796,567"
Gary Payton II,"$1,254,190","$295,720","$295,720","$295,720"
Terance Mann,"$1,191,166","$1,796,567","$1,796,567","$1,796,567"
Admiral Schofield,"$1,191,166","$1,796,567","$1,796,567","$1,796,567"
David Nwaba,"$1,075,755","$2,158,751","$2,158,751","$2,158,751"
Javonte Green,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Nicolas Claxton,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Jalen McDaniels,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Caleb Martin,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Daniel Gafford,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Vlatko Cancar,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Alen Smailagic,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Eric Paschall,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Talen Horton-Tucker,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
KZ Okpala,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Naz Reid,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Ignas Brazdeikis,"$1,070,036","$1,995,794","$1,995,794","$1,995,794"
Jalen Lecque,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
DaQuan Jeffries,"$1,070,036","$1,711,017","$1,711,017","$1,711,017"
Justin James,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Matt Thomas,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Terence Davis,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Miye Oni,"$1,070,036","$1,796,567","$1,796,567","$1,796,567"
Damion Lee,"$1,003,351","$2,086,311","$2,086,311","$2,086,311"
Jeff Green,"$1,001,088","$3,035,447","$3,035,447","$3,035,447"
Timothe Luwawu,"$997,700","$2,158,751","$2,158,751","$2,158,751"
Juwan Morgan,"$888,674","$1,796,567","$1,796,567","$1,796,567"
Gary Clark,"$856,168","$2,388,893","$2,388,893","$2,388,893"
Rayjon Tucker,"$689,176","$821,075","$821,075","$821,075"
Chris Clemons,"$671,038","$1,796,567","$1,796,567","$1,796,567"
Brandon Goodwin,"$622,668","$2,013,876","$2,013,876","$2,013,876"
Reggie Jackson,"$610,736","$2,759,496","$2,759,496","$2,759,496"
Justin Patton,"$575,470","$316,738","$316,738","$316,738"
Anzejs Pasecniks,"$574,313","$442,989","$442,989","$442,989"
Chris Silva,"$556,177","$1,796,567","$1,796,567","$1,796,567"
Anthony Tolliver,"$517,804","$727,675","$727,675","$727,675"
Joakim Noah,"$454,263","$7,612,032","$7,612,032","$7,612,032"
Dion Waiters,"$447,146","$14,971,581","$14,971,581","$14,971,581"
Dean Wade,"$446,687","$1,796,567","$1,796,567","$1,796,567"
Juan Toscano-Anderson,"$417,133","$1,117,203","$1,117,203","$1,117,203"
Norvel Pelle,"$417,133","$1,201,163","$1,201,163","$1,201,163"
Jordan Bell,"$297,791","$701,081","$701,081","$701,081"
Trey Burke,"$273,039","$3,550,572","$3,550,572","$3,550,572"
Jontay Porter,"$235,771","$2,248,696","$2,248,696","$2,248,696"
Cameron Payne,"$233,811","$2,339,840","$2,339,840","$2,339,840"
Jerian Grant,"$233,811","$59,176","$59,176","$59,176"
Mychal Mulder,"$223,679","$1,796,567","$1,796,567","$1,796,567"
Tyler Johnson,"$218,120","$2,400,890","$2,400,890","$2,400,890"
PJ Dozier,"$218,120","$2,086,311","$2,086,311","$2,086,311"
Sindarius Thornwell,"$218,120","$1,462,703","$1,462,703","$1,462,703"
Jaylen Adams,"$194,584","$531,538","$531,538","$531,538"
Luguentz Dort,"$185,401","$1,796,567","$1,796,567","$1,796,567"
Oshae Brissett,"$154,337","$1,485,906","$1,485,906","$1,485,906"
Donta Hall,"$120,908","$445,331","$445,331","$445,331"
Chasson Randle,"$109,059","$331,300","$331,300","$331,300"
Charlie Brown,"$94,778","$257,823","$257,823","$257,823"
Tacko Fall,"$94,778","$773,934","$773,934","$773,934"
Tremont Waters,"$94,778","$842,998","$842,998","$842,998"
Jeremiah Martin,"$94,778","$69,179","$69,179","$69,179"
Chris Chiozza,"$94,778","$531,538","$531,538","$531,538"
Raymond Spalding,"$94,778","$342,223","$342,223","$342,223"
Max Strus,"$94,778","$765,856","$765,856","$765,856"
Adam Mokoka,"$94,778","$531,538","$531,538","$531,538"
Tyler Cook,"$94,778","$820,348","$820,348","$820,348"
Bol Bol,"$94,778","$2,435,976","$2,435,976","$2,435,976"
Jordan Bone,"$94,778","$160,190","$160,190","$160,190"
Louis King,"$94,778","$58,255","$58,255","$58,255"
Brian Bowen,"$94,778","$444,201","$444,201","$444,201"
Amir Coffey,"$94,778","$685,073","$685,073","$685,073"
Devontae Cacok,"$94,778","$531,538","$531,538","$531,538"
Kostas Antetokounmpo,"$94,778","$531,538","$531,538","$531,538"
John Konchar,"$94,778","$2,485,400","$2,485,400","$2,485,400"
Yuta Watanabe,"$94,778","$873,436","$873,436","$873,436"
Gabe Vincent,"$94,778","$782,013","$782,013","$782,013"
Cam Reynolds,"$94,778","$39,410","$39,410","$39,410"
Kelan Martin,"$94,778","$1,711,017","$1,711,017","$1,711,017"
Jordan McLaughlin,"$94,778","$596,212","$596,212","$596,212"
Zylan Cheatham,"$94,778","$1,711,017","$1,711,017","$1,711,017"
Josh Gray,"$94,778","$1,917,976","$1,917,976","$1,917,976"
Jared Harper,"$94,778","$616,008","$616,008","$616,008"
Moses Brown,"$94,778","$1,479,405","$1,479,405","$1,479,405"
Jaylen Hoard,"$94,778","$152,921","$152,921","$152,921"
Kyle Guy,"$94,778","$636,603","$636,603","$636,603"
Drew Eubanks,"$94,778","$1,917,976","$1,917,976","$1,917,976"
Quinndary Weatherspoon,"$94,778","$531,538","$531,538","$531,538"
Paul Watson,"$94,778","$1,711,017","$1,711,017","$1,711,017"
Jarrell Brantley,"$94,778","$604,290","$604,290","$604,290"
Garrison Mathews,"$94,778","$814,326","$814,326","$814,326"
