Players,PER_2019,PER_2020,PER_2021,PER_2022
Chris Paul,,0.93312101910828,,
Karl-Anthony Towns,,,1.1077844311377247,
Dejounte Murray,,,1.1005747126436782,0.8626373626373629
Tyler Herro,,,0.8558282208588956,0.8108882521489972
Miles Bridges,,,0.8676056338028171,
LaMelo Ball,,,1.0216718266253872,
Jordan Poole,,,0.8166666666666667,0.8566666666666665
Gary Trent Jr.,,,0.6885714285714285,
Desmond Bane,,,0.8523489932885906,0.949526813880126
Christian Wood,,,0.9805194805194806,
Tyrese Maxey,,,0.7053824362606232,0.7857142857142857
Cade Cunningham,,,0.8190184049079754,
Jalen Green,,,0.6990595611285267,0.8187134502923976
Deandre Ayton,,,0.9728813559322032,
Kyle Kuzma,,,0.8383233532934131,0.8657142857142857
Keldon Johnson,,,0.7836990595611287,0.8807339449541282
Caris LeVert,,,0.7915309446254071,
Reggie Jackson,,,0.7628205128205129,
Harrison Barnes,,,0.7083333333333333,
Lauri Markkanen,,,,1.0319767441860468
Jalen Brunson,,,,0.937142857142857
Klay Thompson,,,,0.8424242424242424
Anfernee Simons,,,,0.76
Mikal Bridges,,,,0.7871148459383753
Paolo Banchero,,,,0.8609467455621301
Kevin Porter Jr.,,,,0.8367346938775511
Jaren Jackson Jr.,,,,1.0070422535211268
Franz Wagner,,,,0.7760736196319018
