Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022,PER_2019,PER_2020,PER_2021,PER_2022
Jaylen Brown,"$7,784,070","$29,629,669","$29,629,669","$29,629,669",0.8289085545722715,0.96231884057971,0.949404761904762,0.9916434540389976
Darius Garland,"$7,624,562","$7,954,135","$7,954,135","$7,954,135",,0.7311178247734138,0.8795518207282912,0.8591549295774648
De'Aaron Fox,"$7,614,842","$9,586,104","$9,586,104","$9,586,104",0.959375,0.9943019943019944,0.8923512747875353,1.020958083832335
Trae Young,"$7,472,188","$7,777,884","$7,777,884","$7,777,884",1.118980169971672,1.0534124629080115,1.1146131805157593,1.0488505747126438
Montrezl Harrell,"$7,146,999","$10,957,067","$10,957,067","$10,957,067",0.9856115107913672,,,
Lauri Markkanen,"$6,313,659","$7,966,902","$7,966,902","$7,966,902",,,,1.0319767441860468
Buddy Hield,"$5,790,507","$29,507,409","$29,507,409","$29,507,409",0.831168831168831,0.7113702623906706,,
Collin Sexton,"$5,675,861","$5,908,011","$5,908,011","$5,908,011",0.7757575757575759,0.8583569405099152,,
Jamal Murray,"$5,294,433","$32,292,459","$32,292,459","$32,292,459",0.820433436532508,,,0.8871951219512195
Mikal Bridges,"$4,956,444","$5,158,982","$5,158,982","$5,158,982",,,,0.7871148459383753
Shai Gilgeous-Alexander,"$4,708,586","$4,901,352","$4,901,352","$4,901,352",0.8097982708933718,,,1.171830985915493
Miles Bridges,"$4,473,307","$4,656,363","$4,656,363","$4,656,363",,,0.8676056338028171,
Tyler Herro,"$4,336,084","$4,523,713","$4,523,713","$4,523,713",,,0.8558282208588956,0.8108882521489972
Donovan Mitchell,"$4,330,796","$6,149,001","$6,149,001","$6,149,001",0.9096209912536444,1.0329341317365268,1.0088757396449706,1.0111731843575418
Domantas Sabonis,"$4,204,287","$23,433,780","$23,433,780","$23,433,780",0.9913793103448276,1.0333333333333334,1.0,1.072254335260116
Bam Adebayo,"$4,114,384","$6,054,308","$6,054,308","$6,054,308",,0.973134328358209,,0.9335260115606936
John Collins,"$3,200,140","$4,896,597","$4,896,597","$4,896,597",,0.9010238907849828,,
Caris LeVert,"$3,127,666","$19,177,476","$19,177,476","$19,177,476",,,0.7915309446254071,
Pascal Siakam,"$2,801,430","$36,167,554","$36,167,554","$36,167,554",0.943181818181818,0.9106145251396652,0.9445910290237468,0.9839572192513368
Dejounte Murray,"$2,765,573","$16,907,827","$16,907,827","$16,907,827",,,1.1005747126436782,0.8626373626373629
Anfernee Simons,"$2,560,484","$2,665,343","$2,665,343","$2,665,343",,,,0.76
Kyle Kuzma,"$2,352,077","$4,215,924","$4,215,924","$4,215,924",,,0.8383233532934131,0.8657142857142857
Jordan Poole,"$2,340,356","$2,441,941","$2,441,941","$2,441,941",,,0.8166666666666667,0.8566666666666665
Keldon Johnson,"$2,323,489","$2,423,904","$2,423,904","$2,423,904",,,0.7836990595611287,0.8807339449541282
Christian Wood,"$1,959,894","$15,404,602","$15,404,602","$15,404,602",,,0.9805194805194806,
Dillon Brooks,"$1,927,927","$13,492,176","$13,492,176","$13,492,176",,0.7449664429530201,,
Jalen Brunson,"$1,687,706","$1,969,219","$1,969,219","$1,969,219",,,,0.937142857142857
Reggie Jackson,"$610,736","$2,759,496","$2,759,496","$2,759,496",,,0.7628205128205129,
